TIME CODE,SOURCE LANGUAGE,TRANSLATION,Comment Local team
00:00-00:10,Crew speaking,Crew speaking,
00:11-00:17,Bat_tan..Birazcők ba_a dšnelim isterseniz. Ba_tan ba_layalőm da. (É) O zaman hassasiyete tekrar dšnelim. Nedir hassasiyet basitŤe?,"From the beginning.  LetŐs go back to the beginning.  LetŐs start from the beginning.  (É) Then, letŐs go back to the sensitivity issue.  What is sensitivity in simple terms?",
00:15-00:29,"Tamam, di_ hassasiyeti nedir. (É) Di_ hassasiyeti (É) Di_ hassasiyeti di_ kšk yźzeyindeki gšzeneklerin bir biŤimde aŤő_a Ťőkmasődőr. Buna genellikle tźketti_imiz asitli gődalar neden olurlar.","Okay, what is tooth sensitivity.  (É) Tooth sensitivity (É) Tooth sensitivity is the pores on the root surface being somehow exposed.  This is generally caused by the acidic food we consume.",
00:30-00:36,Sźper. O zaman (É) bu gšzenekler aŤő_a Ťőktő_ő zaman hastalar n..ne hissediyorlar? Yani bu onlarőn hayatőnő nasől etkiliyor?,"Super. Then (É) wh..what do the patient feel when these pores are exposed?  I mean, how does it affect their lives?",
00:37-00:55,Di_ kšklerindeki gšzenekler aŤő_a Ťőktőklarő zaman (É) hastalarda _im_ek Ťakmő_casőna ani (É) ortaya Ťőkan a_rőlar meydana gelebilir. Bu duruma di_ hassasi..hassasiyeti diyoruz. Di_ hassasiyetini šnlemenin yolu aŤő_a Ťőkan delikleri bir _ekilde tőkamaktan geŤiyor.,"When the pores located on the tooth roots are exposed (É), patients may feel sudden (É) pain as if a lightning has streaked.  We call this situation tooth sensitivity.  The way to prevent tooth sensitivity is to plug the exposed holes.",
00:56-01:01,(É) O zaman bu hani bir kez benim di_lerim hassasla_tő artők hayatta kurtulamam gibi bir _ey sšz konusu de_il mi?,"(É) Then, this, well, something like Ňonce I have sensitive teeth, I cannot get rid of it foreverÓ is not a case, is it?",
01:02-01:16,Kesinlikle. (É) Hassas di_lerin tedavisi mźmkźn. (É) Hassas di_lere tedavi edebilecek uygun bir di_ macunu kullanőmő seŤildi_i takdirde (É) dźzenli bir bakőm ile hassas di_ler sorununa Ťšzźm getirmek ve onarőm sa_lamak mźmkźn.,"Definitely.  (É) It is possible to cure the sensitized teeth.  (É) Once a suitable toothpaste that can cure the sensitive teeth is chosen, (É) it is possible to solve and repair the sensitized teeth problem by regular oral care.",
01:17-01:25,"Peki bu tedavi ediliyor anlamőna mő geliyor, aslőnda birazcők geŤici bir _ey de_il mi? Tedavi edilmek kadar ya da (É) Ťšzźm getirmek gibi bir _eyden de_il de daha hani..","Well, this means it is cured, doesnŐt it, in fact is something a little temporary?  Not like Ňbeing treatedÓ or (É) Ňfinding a solutionÓ, but more of a ..you know..",
01:26-02:09,"Di_ hassasiyeti asitli gődalarőn kullanőlmasőna..daha ziyade asitli gődalarőn kullanőlmasőna ba_lő olarak di_ yźzeyinde delikler olu_maső, gšzeneklerin aŤő_a Ťőkmasőyla meydana geliyor. (É) Tabi ki Sensodyne onarőm ve koruma gibi bir di_ macunu kur..kullandő_őmőz zaman bu gšzenekleri tőkayarak (É) hassasiyet tedavisini gerŤekle_tiriyoruz. Ama biz yemek yemeye devam ediyoruz. Dolayősőyla asitli gőda almaya devam ediyoruz. Dolayősőyla (É) sil ba_tan olabiliyor. Yani biz asitli gődalar tźketti_imiz (É) mźddetŤe o gšzenekler tekrar aŤőlmak durumuna geŤiyor ve fakat sźrekli bir (É) bakőm onarőm macunu kullanőr isek bu takdirde de (É) ka..savunmamőző gerŤekle_tirmi_ oluyoruz.","Tooth sensitivity occurs due to the exposed pores formed on the tooth surface as a result of the usage of acidic food, mostly the acidic food.  (É) Of course, when we use a toothpaste such as Sensodyne onarőm ve koruma, we cure the sensitivity by plugging these pores.  But we continue eating.  Therefore we continue consuming acidic food.  Therefore, we start all over again.  Meaning, as long as we consume (É) acidic food, these pores become exposed again and but, if we use a toothpaste that has nursing and repairing features, then (É) we would defend our teeth.",
02:10-02:17,_imdi siz sšyleyince _šyle algőladőm olayő. Mesela benim hakkaten hassasiyet sőkőntőm yok. Ama bu aslőnda her an olabilir.,"Now, when you said that I perceived the situation as follows.  For example, I really do not have any discomfort.  But, it can occur at any time.",
02:17-02:18,Do_rudur.,Correct.,
02:18-02:21,Ve bunu sadece hassas di_li olan insanlara de_il sanőrőm genele anlatőyor olmamőz lazőm de_il mi?,"And, I guess, we should be telling this not only the people with sensitized tooth, but to everyone in general?",
